user=0 
  Last 24 hour events (timeRange="1/23/2019, 11:27 AM – 1/24/2019, 11:27 AM" )
    time="2019-01-23 17:03:03" type=MOVE_TO_FOREGROUND package=com.google.android.gm class=com.google.android.gm.setup.AccountSetupFinalGmail flags=0x0 
    time="2019-01-23 17:03:04" type=MOVE_TO_BACKGROUND package=com.google.android.gm class=com.google.android.gm.setup.AccountSetupFinalGmail flags=0x0 
    time="2019-01-23 17:03:04" type=MOVE_TO_FOREGROUND package=com.google.android.gm class=com.google.android.gm.welcome.SetupAddressesActivity flags=0x0 
    time="2019-01-23 17:03:12" type=MOVE_TO_BACKGROUND package=com.google.android.gm class=com.google.android.gm.welcome.SetupAddressesActivity flags=0x0 
    time="2019-01-23 17:03:12" type=MOVE_TO_FOREGROUND package=com.google.android.gm class=com.google.android.gm.welcome.WelcomeTourActivity flags=0x0 
    time="2019-01-23 17:03:12" type=MOVE_TO_BACKGROUND package=com.google.android.gm class=com.google.android.gm.welcome.WelcomeTourActivity flags=0x0 
    time="2019-01-23 17:03:12" type=MOVE_TO_FOREGROUND package=com.google.android.gm class=com.google.android.gm.ui.MailActivityGmail flags=0x0 
    time="2019-01-23 17:03:13" type=NOTIFICATION_INTERRUPTION package=com.google.android.gm flags=0x0 
    time="2019-01-23 17:03:38" type=MOVE_TO_BACKGROUND package=com.google.android.gm class=com.google.android.gm.ui.MailActivityGmail flags=0x0 
    time="2019-01-23 17:03:38" type=MOVE_TO_FOREGROUND package=com.google.android.apps.nexuslauncher class=com.google.android.apps.nexuslauncher.NexusLauncherActivity flags=0x0 
